n2710db;とんでもスキルで異世界放浪メシ
n1691gn;【書籍化＆コミカライズ】関係改善をあきらめて距離をおいたら、塩対応だった婚約者が絡んでくるようになりました
n7756cy;異世界建国記
n4908bv;サモナーさんが行く
n2172gb;ハズレスキル『ガチャ』で追放された俺は、わがまま幼馴染を絶縁し覚醒する　～万能チートスキルをゲットして、目指せ楽々最強スローライフ！～
n0228eg;スキル『台所召喚』はすごい！～異世界でごはん作ってポイントためます～
n0641eh;シャバの「普通」は難しい
n9814fq;悪役令嬢の執事様 破滅フラグは俺が潰させていただきます
n1313ff;乙女ゲーのモブですらないんだが
n7520hg;【書籍化】ループ中の虐げられ令嬢だった私、今世は最強聖女なうえに溺愛モードみたいです（WEB版）
n2133fo;【WEB版】勇者の裏で暗躍していた最強のエージェント、組織が解体されたので、正体隠して人並みの日常を謳歌する
n4942cw;虫かぶり姫
n1119fh;村づくりゲームのＮＰＣが生身の人間としか思えない
n0089bk;異世界迷宮の最深部を目指そう
n1887gm;婚約破棄を狙って記憶喪失のフリをしたら、素っ気ない態度だった婚約者が「記憶を失う前の君は、俺にベタ惚れだった」という、とんでもない嘘をつき始めた
n2047go;芋くさ令嬢ですが悪役令息を助けたら気に入られました
n2872bw;軍オタが魔法世界に転生したら、現代兵器で軍隊ハーレムを作っちゃいました！？
n5373fw;貴腐人ローザは陰から愛を見守りたい
n4076cm;マヌケなFPSプレイヤーが異世界へ落ちた場合
n0995gk;異世界ではじめる二拠点生活～空間魔法で王都と田舎をいったりきたり～
n8020gn;家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら
n3102y;ネトオク男の楽しい異世界貿易紀行
n4274hb;【4/16　完　結！】毒殺される悪役令嬢ですが、いつの間にか溺愛ルートに入っていたようで【小説・コミックス発売中☆タテスク連載中！】
n0469ft;聖女のはずが、どうやら乗っ取られました
n2435cr;暇人、魔王の姿で異世界へ　～時々チートなぶらり旅～
n0520gh;【2/10書籍３巻発売】王妃になる予定でしたが、偽聖女の汚名を着せられたので逃亡したら、皇太子に溺愛されました。そちらもどうぞお幸せに。
n9527fv;ラスボス、やめてみた　～主人公に倒されたふりして自由に生きてみた〜（Ｗｅｂ版）
n4976ht;【書籍化＆コミカライズ決定】義姉の代わりに、余命一年と言われる侯爵子息様と婚約することになりました
n1031gv;【4巻2/20発売】婚約破棄された替え玉令嬢、初恋の年上王子に溺愛される【コミック2/1発売】
n1253cj;指輪の選んだ婚約者
n2296gu;【書籍化・コミカライズ】王太子様、私今度こそあなたに殺されたくないんです ~聖女に嵌められた貧乏令嬢、二度目は串刺し回避します!~
n9814bu;２９歳独身は異世界で自由に生きた…かった。
n0617fd;解雇された暗黒兵士（３０代）のスローなセカンドライフ
n3941hs;後悔するならご勝手に～あなたの選んだ聖女様とどうぞお幸せに～
n0231ht;【Web版】オリビア魔石宝飾店へようこそ～家と店を追い出されたので、王都に店をかまえたら、なぜか元婚約者と義妹の結婚式に出ろと言われました～
n3059ch;お前みたいなヒロインがいてたまるか！
n3020gj;マイナススキル持ち四人が集まったら、なんかシナジー発揮して最強パーティーができた件
n4686ek;俺のメガネはたぶん世界征服できると思う。
n8581fo;ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜かれてSランクになりました
n2596ea;聖女になるので二度目の人生は勝手にさせてもらいます　～王太子は、前世で私を振った恋人でした～
n4995hm;婚約者の王子に毒を盛られたので愛が冷めました
n8024hd;１００日後に死ぬ悪役令嬢は毎日がとても楽しい。（Web版）
n8031dd;町をつくる能力！？〜異世界につくろう日本都市〜
n8136dz;31番目のお妃様
n5036fc;転生勇者の気まま旅　～伝説の最強勇者は第二の人生でさらに強くなるようです～
n0219gq;【コミカライズ・書籍化】ななしの皇女と冷酷皇帝 ～虐げられた幼女、今世では龍ともふもふに溺愛されています～
n9545er;善人おっさん、生まれ変わったらＳＳＳランク人生が確定した
n7617gy; 転生先が気弱すぎる伯爵夫人だった～前世最強魔女は快適生活を送りたい～
n1537gq;【Web版】極点の炎魔術師〜ファイヤボールしか使えないけど、モテたい一心で最強になりました～【漫画3巻発売中！】
n5993ba;フリーライフ　～異世界何でも屋奮闘記～
n3386db;無欲の聖女は金にときめく
n0645gg;運命の恋人は期限付き
n5990cm;異世界転生の冒険者
n7152gj;草魔法師クロエの二度目の人生
n2211cx;野生のラスボスが現れた！
n0417fm;【web版】八歳から始まる神々の使徒の転生生活
n7848gp;【WEB版】人脈チートで始める人任せ英雄譚 ～国王に「腰巾着」と馬鹿にされ、勇者パーティを追放されたので、他国で仲間たちと冒険することにした。勇者パーティが制御不能で大暴れしてるらしいけど知らん～
n1052ib;誰が勇者を殺したか
n9512fk;どうも、好きな人に惚れ薬を依頼された魔女です。
n1435ev;世界の闇と戦う秘密結社が無いから作った（半ギレ）
n8558fh;転生王女と天才令嬢の魔法革命【Web版】
n3742ey;ご主人様とゆく異世界サバイバル！
n6530bk;ライオットグラスパー ～異世界でスキル盗ってます～（旧：異世界で盗賊やってます）
n7505bx;ぼくは異世界で付与魔法と召喚魔法を天秤にかける
n5896ha;【コミカライズ＆書籍化】【WEB版】婚約破棄され家を追われた少女の手を取り、天才魔術師は優雅に跪く（コミカライズ版:義妹に婚約者を奪われた落ちこぼれ令嬢は、天才魔術師に溺愛される）
n7457fc;金貨１枚で変わる冒険者生活
n0661fd;悪役令嬢になりたくないので、王子様と一緒に完璧令嬢を目指します！
n1854cj;グリモワール×リバース～転生鬼神浪漫譚～
n0792gy;義妹に押し付けられた嫁ぎ先は、呪われた公爵閣下でした【完結】
n8390gi;嫉妬とか承認欲求とか、そういうの全部捨てて田舎にひきこもる所存
n9565dj;魔王討伐したあと、目立ちたくないのでギルドマスターになった
n9543bw;モンスターのご主人様
n0339dn;大公妃候補だけど、堅実に行こうと思います
n3170ed;願わくばこの手に幸福を
n2913hy;ハズレ姫は意外と愛されている？
n2472gl;家族に役立たずと言われ続けたわたしが、魔性の公爵騎士様の最愛になるまで
n8001hc;見切りから始める我流剣術
n7804bq;ドリーム・ライフ～夢の異世界生活～
n4176eh;魔術学院を首席で卒業した俺が冒険者を始めるのはそんなにおかしいだろうか
n4201gx;目的は生き延びること
n0172eh;異世界でも無難に生きたい症候群【完結】
n1583dj;剣士を目指して入学したのに魔法適性9999なんですけど！？
n1456gm;日本語が話せないロシア人美少女転入生が頼れるのは、多言語マスターの俺1人
n2542dr;エノク第二部隊の遠征ごはん
n3613gb;成り行きで婚約を申し込んだ弱気貧乏令嬢ですが、何故か次期公爵様に溺愛されて囚われています
n7521dy;スライム転生。大賢者が養女エルフに抱きしめられてます
n9442cw;その者。のちに・・・
n6756gs;後宮も二度目なら 〜白豚妃再来伝〜
n2027ci;神殺しの英雄と七つの誓約（旧題：彼は英雄ではないと言い張るようです）
n9264bj;ドラグーン
n9055cl;悠久の愚者アズリーの、賢者のすゝめ
n2360fq;王妃ベルタの肖像　～うっかり陛下の子を妊娠してしまいました～
n5996gy;【6/1 第3巻発売＆コミカライズ配信中】辺境の貧乏伯爵に嫁ぐことになったので領地改革に励みます
n3730bn;まのわ ～魔物倒す・能力奪う・私強くなる～
n5497hk;優等生だった子爵令嬢は、恋を知りたい。～六人目の子供ができたので離縁します～【１巻発売中】
n1230ei;エリスの聖杯
n7481gn;死に戻りの魔法学校生活を、元恋人とプロローグから （※ただし好感度はゼロ）
n4528hj;【WEB版】ポジティブ令嬢フローラの契約結婚
n6990ch;NO FATIGUE 24時間戦える男の転生譚
n5242fx;不遇職【鑑定士】が実は最強だった〜奈落で鍛えた最強の【神眼】で無双する〜
n4734fn;【WEB版】転生したら兵士だった？！〜赤い死神と呼ばれた男〜
n0651fj;処刑された賢者はリッチに転生して侵略戦争を始める
